Food_Name,Ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Achari Aloo,"potato, mustard seeds, pickle spices",vegetarian,15,20,spicy,main course,Punjab,North
Achari Baingan,"eggplant, mustard seeds, pickle spices",vegetarian,15,25,spicy,main course,Punjab,North
Achari Bhindi,"okra, mustard seeds, pickle spices",vegetarian,15,20,spicy,main course,Punjab,North
Achari Gobhi,"cauliflower, mustard seeds, pickle spices",vegetarian,15,25,spicy,main course,Punjab,North
Achari Paneer,"paneer, pickle spices, yogurt, onion",vegetarian,20,25,spicy,main course,Punjab,North
Achari Paneer,"paneer, mustard seeds, pickle spices",vegetarian,20,25,spicy,main course,Punjab,North
Ada Pradhaman,"rice ada, ghee, jaggery, coconut milk",vegetarian,20,35,sweet,dessert,Kerala,South
Akki Payasa,"rice, ghee, milk, sugar",vegetarian,15,30,sweet,dessert,Karnataka,South
Almond Pulao,"Basmati rice, almond, saffron, ghee",vegetarian ,15,25,mild,main course,Kashmir,North
Aloo Paratha,"potato, whole wheat flour, butter, spices",vegetarian,25,20,savory,breakfast,Punjab,North
Aloo Posto,"potato, mustard oil, poppy seeds",vegetarian,15,20,savory,main course,West Bengal,East
American Chopsuey,"capsicum, noodles, vegetables, sauce",vegetarian,20,25,savory,main course,Delhi,North
Amritsari Kulcha,"flour, potato, butter, onion",vegetarian,30,20,savory,main course,Punjab,North
Anda Ghotala,"egg, butter, onion, tomato",non vegetarian,15,20,spicy,main course,Gujarat,West
Anda Masala,"egg, onion, tomato, ginger",non vegetarian,15,25,spicy,main course,Delhi,North
Anda Pav,"egg, pav bread, onion, spices",non vegetarian,10,10,savory,snack,Maharashtra,West
Aravana Payasam,"rice, ghee, jaggery",vegetarian,20,35,sweet,dessert,Kerala,South
Atta Halwa,"whole wheat flour, ghee, sugar",vegetarian,15,20,sweet,dessert,Punjab,North
Baby Corn Manchurian,"capsicum, baby corn, sauces",vegetarian,20,20,spicy,starter,Delhi,North
Badam Barfi,"almond, sugar, milk, ghee",vegetarian ,20,25,sweet ,dessert ,Gujarat,West
Badam Basundi,"milk, almond, sugar, saffron",vegetarian ,15,45,sweet ,dessert,Gujarat,West
Badam Burfi,"almond, sugar, milk, ghee",vegetarian ,20,25,sweet ,dessert ,Gujarat,West
Badam Chikki,"almond, jaggery, ghee",vegetarian ,10,15,sweet ,dessert ,Maharashtra,West
Badam Chocolate Barfi,"almond, cocoa powder, milk, ghee",vegetarian ,20,25,sweet ,dessert ,Gujarat,West
Badam Coconut Ladoo,"almond, coconut, milk, cardamom powder",vegetarian ,15,15,sweet ,dessert,Maharashtra,West
Badam Halwa,"almond, milk, sugar, ghee",vegetarian ,20,40,sweet ,dessert ,Karnataka ,South
Badam Ice Cream,"almond, milk, cream, sugar",vegetarian ,20,30,sweet ,dessert ,Delhi,North
Badam Kalakand,"almond, milk, paneer, sugar",vegetarian ,20,30,sweet ,dessert,Uttar Pradesh,North
Badam Katli,"almond, sugar, rose water, cardamom powder",vegetarian ,20,20,sweet ,dessert ,Rajasthan,North
Badam Kesari,"almond, semolina, sugar, ghee",vegetarian ,15,25,sweet ,dessert ,Karnataka,South
Badam Kheer,"almond, milk, sugar, saffron",vegetarian ,15,30,sweet ,dessert ,Uttar Pradesh,North
Badam Kulfi,"almond, milk, sugar, saffron",vegetarian ,20,40,sweet ,dessert ,Uttar Pradesh,North
Badam Ladoo,"almond, jaggery, ghee, cardamom powder",vegetarian ,15,15,sweet ,dessert ,Maharashtra,West
Badam Makhana Kheer,"almond, fox nuts (makhana), milk, sugar",vegetarian ,15,30,sweet ,dessert,Uttar Pradesh,North
Badam Milk,"almond, milk, sugar, saffron",vegetarian ,10,15,sweet ,beverage,Tamil Nadu,South
Badam Modak,"almond, coconut, jaggery, cardamom powder",vegetarian ,20,15,sweet ,dessert ,Maharashtra,West
Badam Payasam,"almond, milk, sugar, ghee",vegetarian ,15,30,sweet ,dessert,Kerala,South
Badam Peda,"almond, milk, cardamom powder",vegetarian ,20,15,sweet ,dessert ,Uttar Pradesh,North
Badam Phirni,"almond, rice, milk, saffron",vegetarian ,20,35,sweet ,dessert ,Punjab,North
Badam Rabri,"milk, almond, sugar, saffron",vegetarian ,15,45,sweet ,dessert ,Uttar Pradesh,North
Badam Sharbat,"almond, milk, sugar, rose syrup",vegetarian ,15,10,sweet ,beverage,Hyderabad,South
Badam Sheera,"almond, semolina, milk,  ghee",vegetarian ,15,25,sweet ,dessert ,Maharashtra,West
Badami Aloo Curry,"Potatoes, almond, onion, tomato",vegetarian ,20,30,spicy ,main course,Kashmir,North
Badami Chicken,"chicken, almond, yogurt, onion",Non-vegetarian ,25,40,spicy,main course,Hyderabad,South
Badami Gosht,"mutton, lmonds, yogurt, onion",Non-vegetarian ,30,60,spicy,main course,Hyderabad,South
Badami Lassi,"Yogurt, almond, sugar, cardamom powder",vegetarian ,10,0,sweet ,beverage,Punjab,North
Badami Sewaiyan,"Vermicelli, almond, milk, sugar",vegetarian ,15,25,sweet ,dessert ,Hyderabad ,South
Badami Vegetable Curry,"Mixed vegetables, almond, onion, tomato",vegetarian ,20,30,spicy ,main course,Kashmir,North
Bafla,"wheat flour, butter, lentils, spices",vegetarian,30,45,savory,main course,Madhya Pradesh,Central
Balushahi,"flour, ghee, sugar syrup",vegetarian,20,25,sweet,dessert,Uttar Pradesh,North
Banana Appam,"banana, rice flour, jaggery, cardamom",vegetarian,20,20,sweet,snack,Kerala,South
Banana Avial,"banana, vegetables, coconut, yogurt",vegetarian,20,30,mild,main course,Kerala,South
Banana Barfi,"banana, milk, sugar, ghee",vegetarian,20,30,sweet,dessert,Uttar Pradesh,North
Banana Bhaji,"banana, gram flour, chili powder, oil",vegetarian,15,15,spicy,snack,Maharashtra,West
Banana Bonda,"banana, flour, sugar, cardamom",vegetarian,15,15,sweet,snack,Tamil Nadu,South
Banana Chaat,"banana, chaat masala, lemon juice, onion",vegetarian,10,0,tangy,snack,Delhi,North
Banana Chilla,"banana, gram flour, cardamom, sugar",vegetarian,15,15,sweet,breakfast,Rajasthan,North
Banana Chips,"banana, coconut oil, salt",vegetarian,10,15,salty,snack,Kerala,South
Banana Curry,"banana, coconut, spices, curry leaves",vegetarian,15,25,spicy,main course,Kerala,South
Banana Cutlet,"banana, potato, breadcrumbs, spices",vegetarian,20,15,savory,snack,Delhi,North
Banana Dosa,"banana, rice flour, jaggery, cardamom",vegetarian,15,15,sweet,breakfast,Karnataka,South
Banana Erissery,"banana, coconut, cumin, curry leaves",vegetarian,20,25,mild,main course,Kerala,South
Banana Halwa,"banana, sugar, ghee, cardamom",vegetarian,20,40,sweet,dessert,Kerala,South
Banana Idli,"banana, rice batter, jaggery",vegetarian,20,15,sweet,breakfast,Tamil Nadu,South
Banana Kesari,"banana, semolina, sugar, ghee",vegetarian,15,20,sweet,dessert,Karnataka,South
Banana Kheer,"banana, milk, sugar, cardamom",vegetarian,15,25,sweet,dessert,Tamil Nadu,South
