Food_Name,Ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Gajar ka halwa,"carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East
Kaju katli,"cashew, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1
Kalakand,"milk, cottage cheese, cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,-1,-1
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East
Lyangcha,"Flour, fried milk power, milk, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East
Misti doi,"milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East
Pantua,"Chhena, sugar, ghee, milk, flour",vegetarian,45,45,sweet,dessert,West Bengal,East
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East
Rasgulla,"Chhena, sugar, milk, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East
Maach Jhol,"fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,Assam,North East
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North
Biryani,"chicken, basmati rice, star anise, sweet, ghee, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South
Butter chicken,"chicken, greek yogurt, cream, garam masala powder, cashew, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North
Chana masala,"Chickpeas, tomato, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,-1,main course,Maharashtra,West
Chicken Tikka,"chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North
Dum aloo,"Baby potatoes, garam masala, cashew, kasuri methi, tomato",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North
Mushroom do pyaza,"mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,Punjab,North
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,60,30,-1,main course,Punjab,North
Palak paneer,"cheese, palak, cream, garam masala, milk, butter",vegetarian,20,40,spicy,main course,Punjab,North
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,-1,-1
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,spicy,snack,-1,-1
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,-1,North
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,-1,-1
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,-1,South
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,-1,South
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,-1,snack,Maharashtra,West
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, tomato, dinner rolls",vegetarian,20,40,spicy,main course,Maharashtra,West
Luchi,"Maida, vegetable oil",vegetarian,20,30,-1,main course,West Bengal,East
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,15,25,-1,main course,-1,-1
Prawn malai curry,"Coconut milk, milk, prawn, garlic, turmeric, sugar",non vegetarian,15,50,spicy,main course,West Bengal,East
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,West Bengal,East
,,,,,,,,
Aloo Posto,"Potatoes, poppy seeds, green chilies, mustard oil",vegetarian,10,25,spicy,main course,West Bengal,East
Beguni,"Brinjal, besan, turmeric, mustard oil",vegetarian,10,20,spicy,snack,West Bengal,East
Macher Jhol (Rui/Katla),"fish, potato, turmeric, mustard oil",non vegetarian,10,30,spicy,main course,West Bengal,East
Shorshe Ilish,"Hilsa fish, fish, mustard paste, green chilies, mustard oil",non vegetarian,15,40,spicy,main course,West Bengal,East
Kosha Mangsho,"chicken, onion, ginger, garlic, tomato, garam masala",non vegetarian,20,90,spicy,main course,West Bengal,East
Dim Bhuna,"egg, onion, tomato, spices",non vegetarian,10,30,spicy,main course,West Bengal,East
Potoler Dolma,"Pointed gourd, coconut, poppy seeds, spices",vegetarian,20,35,spicy,main course,West Bengal,East
Fish Fry (Bengali Style),"Fish fillet, fish, semolina, turmeric, mustard oil",non vegetarian,10,20,spicy,starter,West Bengal,East
Potol Bhaja,"Pointed gourd, mustard oil, salt",vegetarian,5,15,spicy,side dish,West Bengal,East
Dimer Devil,"egg, potato, spices, bread crumbs",non vegetarian,20,30,spicy,snack,West Bengal,East
Chicken Roll,"chicken, paratha, onion, green chilies, lemon",non vegetarian,20,30,spicy,snack,West Bengal,East
